species,Intolerant,Tolerant,Benthic,Rheophilic,Lithophilic,Phytophilic,Invertivorous,Omnivorous,Migration long,Potamodromous
Gymnocephalus schraetser,,,1,1,1,,,,,
Hemichromis bimaculatus,,,1,,,,1,,,
Hemichromis fasciatus,,1,1,,,,,1,,
Hucho hucho,1,,,1,1,,,,,1
Huso huso,,,1,1,,,,,1,
Hypophthalmichthys molitrix,,1,,,,,,,,
Hypophthalmichthys nobilis,,,,,,,,,,
Iberocypris palaciosi,,,,,,,,,,
Ictalurus nebulosus,,,,,,,,,,
Ictalurus punctatus,,,,,,,,,,
Ictiobus niger,,,,,,,,,,
Knipowitschia caucasica,,,1,,,1,,,,
Knipowitschia goerneri,,,,,,,,,,
Knipowitschia milleri,,,1,,,,,,,
Knipowitschia panizzae,,,1,,,,1,,,
Knipowitschia thessala,,,,,,,,,,
Ladigesocypris ghigii,,,,,,,1,,,
Lampetra fluviatilis,1,,1,1,1,,,,1,
Lampetra planeri,1,,1,1,1,,,,,1
Lepomis auritus,,,,,,,,,,
Lepomis cyanellus,,,,,,,,,,
Lepomis gibbosus,,1,,,,,1,,,
Lethenteron camtschaticum,,,,,,,,,,
Lethenteron zanandreai,,,,,,,,,,
Leucaspius delineatus,,,,,,1,,1,,
Leuciscus aradensis,,,,,,,,,,
Leuciscus borysthenicus,,,,,1,,,,,
Leuciscus burdigalensis,,,,,,,,,,
Leuciscus carolitertii,,,,,1,,1,,,
Leuciscus cephalus,,,,1,1,,,1,,1
Leuciscus idus,,,,1,,,,1,,1
Leuciscus illyricus,,,,,,,,,,
Leuciscus keadicus,1,,,1,,,1,,,
Leuciscus leuciscus,,,,1,1,,,1,,
Leuciscus lucumonis,,,,,,,,,,
Leuciscus microlepis,,,,,,,,,,
Leuciscus montenigrinus,,,,,,,,,,
Leuciscus muticellus,,,,,,,,,,
Leuciscus pleurobipunctatus,,,,1,,,,1,,1
Leuciscus polylepis,,,,,,,,,,
Leuciscus pyrenaicus,,,,,1,,1,,,
Leuciscus souffia,1,,,1,1,,,,,
Leuciscus svallize,,,,,,,1,,,
Leuciscus torgalensis,,,,,,,,,,
Leuciscus turskyi,,,,,,,,,,
Leuciscus ukliva,,,,,,,,,,
Leuciscus zrmanjae,,,,,,,,,,
Liza aurata,,,,,,,,1,,
Liza ramada,,1,,,,,,,,
Liza saliens,,,,,,,,,,
Lota lota,,,1,,1,,,,,1
Micropterus dolomieui,,,,,,,,,,
Micropterus salmoides,,1,,,,1,,,,
Misgurnus anguillicaudatus,,,,,,,,,,
Misgurnus fossilis,,,1,,,1,,,,
Morone saxatilis,,,,,,,,1,1,
Mugil cephalus,,,,,,,,,1,
Mylopharyngodon piceus,,,,,,,,,,
Neogobius gymnotrachelus,,,1,,,,,1,,
Neogobius kessleri,,,1,,1,,,,,
Neogobius melanostomus,,,,,,,,,,
Odonthestes bonariensis,,,,,,,,,,
Oncorhynchus gorbuscha,,,,,,,,,,
Oncorhynchus kisutch,,,,1,1,,,,1,
Oncorhynchus mykiss,,,,1,1,,,,,1
Oncorhynchus tschawytscha,,,,,,,,,,
Orconectes limosus,,,,,,,,,,
Oreochromis mossambicus,,,,,,,,,,
Oreochromis niloticus,,,,,,,,,,
Osmerus eperlanus,,,,,,,,,,
Osmerus eperlanus eperlanus,,,,1,,,,,,
Pachychilon macedonicum,,,,,,,,,,
Pachychilon pictum,,,1,1,1,,,1,,
Parabramis pekinensis,,,,,,,,,,
Pelecus cultratus,,,,,,,,1,,1
Perca fluviatilis,,1,,,,,,,,
Perccottus glenii,,,,,,,,1,,
Petromyzon marinus,1,,1,1,1,,,,1,
Phoxinellus adspersus,,,,,,,,,,
Phoxinellus alepidotus,,,,,,,,,,
Phoxinellus croaticus,,,,,,,,,,
Phoxinellus epiroticus,,,,,,,1,,,
Phoxinellus fontinalis,,,,,,,,,,
Phoxinellus ghetaldii,,,,,,,,,,
Phoxinellus metohiensis,,,,,,,,,,
Phoxinellus prespensis,,,,,,,,,,
Phoxinellus pstrossii,,,,,,,,,,
Phoxinus phoxinus,,,,1,1,,,,,
Pimephales promelas,,1,,,,,,1,,
Platichthys flesus,,,1,,,,,,,
Pleuronectes platessa,,,1,,,,,,,
Poecilia reticulata,,,,,,,,,,
Polyodon spathula,,,,,1,,,,,1
Proterorhinus marmoratus,,,1,,1,,,,,
Pseudophoxinus beoticus,,,,,,,,,,
Pseudophoxinus minutus,,,,,,,,,,
Pseudophoxinus stymphalicus,,,,,,1,,1,,
Pseudorasbora parva,,1,,,,,,1,,
Pungitius hellenicus,1,,,,,1,1,,,
Pungitius platygaster,,,,,,,,,,
Pungitius pungitius,,1,,,,,,1,,
Rhodeus sericeus,1,,,,,,,,,
Romanichthys valsanicola,,,,,,,,,,
Rutilus arcasii,,,,1,,1,,1,,
Rutilus aula,,,,,,,,,,
Rutilus basak,,,,,,,,,,
Rutilus frisii,,,,1,1,,,,,
Rutilus heckelii,,,,,,,,,,
Rutilus karamani,,,,,,,,,,
Rutilus lusitanicus,,,,,,,,,,
Rutilus macrolepidotus,,1,,,,1,,,,
Rutilus meidingeri,,,,,,,,,,
Rutilus ohridanus,,,,,,,,,,
Rutilus pigus,,,1,1,,,,,,
Rutilus prespensis,,,,,,,,,,
Rutilus rubilio,,,,,,,,,,
Rutilus rutilus,,1,,,,,,1,,
Rutilus ylikiensis,,,,,,,,1,,
Sabanejewia aurata,,,1,,,1,,1,,
Sabanejewia balcanica,,,1,1,,1,,,,
Sabanejewia bulgarica,,,,,,,,,,
Sabanejewia larvata,,,,,,,,,,
Sabanejewia romanica,,,,,,,,,,
Salaria fluviatilis,,,1,,1,,1,,,
Salmo salar,1,,,1,1,,1,,1,
Salmo trutta fario,1,,,1,1,,1,,,
Salmo trutta lacustris,1,,,,1,,1,,,1
Salmo trutta trutta,1,,,1,1,,1,,1,
Salmothymus obtusirostris,,,,,,,,,,
Salvelinus alpinus,1,,,,1,,,,,
Salvelinus fontinalis,1,,,1,1,,1,,,
Salvelinus namaycush,1,,1,,1,,1,,,1
Sander lucioperca,,,,,,,,,,
Sander volgensis,,,1,,,,,,,
Scardinius acarnanicus,,,,,,1,,1,,
Scardinius erythrophthalmus,,,,,,1,,1,,
Scardinius graecus,,,,,,,,,,
Scardinius racovitzai,,,,,,,,,,
Scardinius scardafa,,,,,,,,,,
Silurus aristotelis,,,1,,,1,,,,
Silurus glanis,,,1,,,1,,,,
Squalius alburnoides,,,,,,1,1,,,
Sygnathus abaster,,,,,,,,,,
Thymallus baicalensis,,,,,1,,1,,,
Thymallus thymallus,1,,,1,1,,1,,,1
Tilapia zillii,,,,,,,,,,
Tinca tinca,,1,1,,,1,,1,,
Triglopsis quadricornis,,,1,,1,,1,,,
Tropidophoxinellus hellenicus,,,,,,1,,1,,
Tropidophoxinellus spartiaticus,,,,1,,1,1,,,
Umbra krameri,,,1,,,1,,1,,
Umbra pygmaea,,1,,,,,1,,,
Valencia hispanica,1,,,,,1,1,,,
Valencia letourneuxi,1,,,,,1,1,,,
Vimba elongata,,,,,,,,,,
Vimba melanops,,,,,,,,,,
Vimba vimba,,,1,1,1,,,,,1
Zigel balcanicus,,,,,,,,,,
Zingel asper,,,1,1,1,,1,,,
Zingel streber,1,,1,1,1,,,,,
Zingel zingel,1,,1,1,1,,,,,
Zosterisessor ophiocephalus,,,,,,,,,,
